track_id,track_name,artist_name,danceability,energy,tempo,valence
3PwRuzdphgedcWVUOVYJ7I,Cúrame,Rauw Alejandro,0.765,0.625,102.101,0.262
0EPxmvsG1BY5td4aTOkWBF,Deu Onda,MC G15,0.931,0.604,129.926,0.864
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,0.881,0.457,136.97,0.296
4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,"Grupo Menos É Mais, Matheus Fernandes",0.691,0.752,167.073,0.684
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,0.543,0.87,100.804,0.754
4Fs2x6hJPy97PcTjGECLVX,RUBICON,Peso Pluma,0.758,0.816,139.959,0.915
3oRW9ZGPRbLRMneQ5lwflt,Waiting On A Miracle,Stephanie Beatriz,0.48,0.554,190.066,0.267
0kdqcbwei4MDWFEX5f33yG,Bling-Bang-Bang-Born,Creepy Nuts,0.853,0.822,157.013,0.746
6GD1eomgaGT1Epto6Q5eAo,golden hour,JVKE,0.511,0.594,94.473,0.143
48AJSd42lXpicsGqcgopof,X ÚLTIMA VEZ,"Daddy Yankee, Bad Bunny",0.812,0.855,90.04,0.573
1Hd2XLitkt1PYCWSbfF5qV,Wish Wish (feat. Cardi B & 21 Savage),"DJ Khaled, Cardi B, 21 Savage",0.861,0.666,145.041,0.853
2WigMwGJysIh9fRnSJvpjn,KU LO SA - A COLORS SHOW,Oxlade,0.649,0.655,92.9,0.793
5zj8WNkBrEzlI5FKeYV4ol,La Luz,"Sech, J Balvin",0.665,0.697,94.053,0.556
4vTgx6h4seHvkuFh84JXYP,My Time,BTS,0.674,0.64,99.908,0.664
4cWrKV5SN7AknqPy4ryBDG,Casa Mia,Ghali,0.728,0.889,119.952,0.624
3yaYgjEFkRw3PVjW9mV1TO,Over The Top (feat. Drake),"Smiley, Drake",0.833,0.498,139.928,0.259
2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,0.451,0.24,134.009,0.701
0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,0.707,0.681,117.999,0.646
4n4BflhWjCHIxrI4v7Xt9s,How Bout Now,Drake,0.789,0.404,122.062,0.472
5MPPttjfGap2C6j6eKcO6J,Baby (Lil Baby feat. DaBaby),"Quality Control, Lil Baby, DaBaby",0.97,0.463,108.003,0.46
2nZj5YymF54qhAu7RneVP6,Coração Na Cama - Ao Vivo,Hugo & Guilherme,0.764,0.794,110.013,0.721
1dUHF4RyMmMTveJ0Rby6Xm,Can’t Take A Joke,Drake,0.761,0.598,173.897,0.446
63THFs9ovzO3WQsz4lzh0H,DODI,Shindy,0.823,0.56,146.958,0.371
4a1fh9vJMMoRjNrBmEWoM0,All The Money (with Gunna) [Bonus],"Metro Boomin, Gunna",0.837,0.58,111.981,0.262
6Z4rmc0uujCpl8yXe3yjgI,Whip (feat. Travis Scott),"2 Chainz, Travis Scott",0.793,0.399,121.949,0.0379
